Comentario,Label
Todo perfecto. Neque nam adipisci esse ratione corporis sit.,1
Muy mala experiencia. Porro nemo libero ab nesciunt odit fuga.,0
Funcionó como esperaba. Repellat molestias esse officiis reprehenderit eligendi quod.,1
Llegó tarde. Esse assumenda tempora repellendus maiores.,0
Pésimo servicio. Minima molestiae occaecati id.,0
Buen embalaje. Aliquam asperiores vel repellendus dolor ad eius eius.,1
Producto dañado. Error alias corporis nisi doloribus dignissimos velit.,0
Atención rápida y eficaz. Voluptatum aliquid corporis.,1
Buena calidad. Laudantium inventore exercitationem maxime magni saepe voluptatum.,1
Me encantó el producto. Totam ducimus molestias ad necessitatibus quas qui.,1
Producto dañado. Iusto soluta deleniti perferendis ipsum sunt sint.,0
Muy recomendable. Aliquam commodi amet.,1
Todo perfecto. Similique natus fuga.,1
Buena calidad. Eos nemo sint magni blanditiis nam quis aliquam.,1
Muy satisfecho con mi compra. Debitis et sed voluptate reiciendis delectus odio.,1
Muy mala experiencia. Beatae nemo nulla expedita.,0
Muy mala experiencia. Ipsum molestias ipsa tempore quaerat quod tempora quaerat.,0
No volveré a comprar. Aliquam voluptate quis perspiciatis.,0
Me llegó incompleto. Et eius error animi.,0
Atención rápida y eficaz. Dolorum odio repellendus porro ratione.,1
Relación calidad-precio excelente. Itaque incidunt esse expedita autem praesentium.,1
Relación calidad-precio excelente. Nesciunt suscipit nobis ipsam.,1
Buena calidad. Fuga aspernatur nemo quaerat est dolorum quas.,1
Me llegó incompleto. Iure quo totam rerum.,0
Producto defectuoso. Quam rerum impedit dolores ratione eaque.,0
No volveré a comprar. Iste fugit harum accusantium quibusdam tempora asperiores.,0
Mala atención al cliente. Dolorem ad quisquam sapiente non in consequuntur.,0
Difícil de usar. Repudiandae consequuntur voluptate nobis adipisci eos earum rem.,0
Mala atención al cliente. Optio fuga tenetur illo libero.,0
Mala atención al cliente. Vitae iure quam voluptates earum.,0
Difícil de usar. Eum ex maiores molestias.,0
Llegó tarde. Sint illo dignissimos.,0
Muy satisfecho con mi compra. Iure aperiam aspernatur inventore voluptate.,1
Empaque en mal estado. Officiis ducimus praesentium quisquam possimus non.,0
Relación calidad-precio excelente. Praesentium quas magnam laudantium omnis dolores dolores.,1
Funcionó como esperaba. Est reiciendis quidem sunt error aut minima deserunt.,1
No era lo que esperaba. Quia natus ducimus tempora temporibus accusantium distinctio ducimus.,0
Buena calidad. Molestias at ullam ab expedita culpa nesciunt.,1
Empaque en mal estado. Nostrum ducimus exercitationem.,0
Buena calidad. Reiciendis numquam sequi velit a aliquid.,1
Muy mala experiencia. Quibusdam voluptatibus eum minima quaerat deserunt.,0
No volveré a comprar. Eaque molestiae temporibus corporis alias ad.,0
Relación calidad-precio excelente. Laboriosam earum architecto totam tempora.,1
No era lo que esperaba. Occaecati totam consequatur optio magni repellendus amet.,0
Llegó tarde. Laborum facilis perspiciatis unde dolore.,0
Muy recomendable. Assumenda quia vel cumque.,1
Difícil de usar. Quas cumque alias ipsum architecto veritatis commodi.,0
Mala atención al cliente. Dolores praesentium natus cupiditate.,0
Llegó tarde. At ab est voluptatum sit asperiores atque.,0
Relación calidad-precio excelente. Voluptatem sit adipisci beatae dicta.,1
Excelente servicio. Magnam neque labore iure a recusandae.,1
